"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0.2,100,10,0.8,"Bias",-0.02615,0.02331,0.02041,0.02571,-0.00633,-0.00279,-0.00313,-0.0382,-0.03812,-0.03819
0.2,100,10,0.8,"Var",26.82175,25.94791,25.05345,25.52712,29.8176,28.18113,28.06575,26.81752,26.85223,26.81736
0.2,100,10,0.8,"MSE",1.13813,1.19632,1.19817,1.19586,2.90831,1.58864,1.55354,1.13713,1.13879,1.13715
0.2,100,20,0.2,"Bias",-0.03803,0.00332,0.00349,0.00319,-0.00177,-0.00172,-0.00179,-0.00933,0.00344,-0.00899
0.2,100,20,0.2,"Var",5.95606,6.99542,6.81589,6.85126,8.3775,8.35321,8.35195,6.56513,6.47084,6.56026
0.2,100,20,0.2,"MSE",1.73237,1.06545,1.0621,1.06248,1.99731,1.98686,1.98809,1.13423,1.12681,1.13317
0.2,100,20,0.8,"Bias",-0.02101,0.01206,0.01392,0.01021,-0.00178,-0.00005,-0.00008,-0.01092,-0.01041,-0.01091
0.2,100,20,0.8,"Var",29.92593,29.60881,29.11174,29.3286,32.43647,32.14979,32.14935,29.95189,29.96328,29.95155
0.2,100,20,0.8,"MSE",1.13371,1.09814,1.09777,1.0971,2.01587,1.85509,1.85528,1.11946,1.12378,1.11955
0.2,100,30,0.2,"Bias",0.02163,-0.00178,-0.00173,-0.00182,0.00031,0.0002,0.00146,0.0434,0.04222,0.04349
0.2,100,30,0.2,"Var",5.21738,5.98263,5.89297,5.90115,7.36473,7.35226,7.25195,5.68842,5.624,5.68424
0.2,100,30,0.2,"MSE",1.75624,1.04552,1.04415,1.04432,2.00441,1.99602,1.96995,1.10474,1.10877,1.10458
0.2,100,30,0.8,"Bias",0.0032,-0.00175,-0.00108,-0.00237,0.00011,0,0.00051,0.01916,0.01794,0.01912
0.2,100,30,0.8,"Var",29.51674,29.49388,29.16821,29.26299,32.23932,32.09508,31.99086,29.6262,29.61869,29.62657
0.2,100,30,0.8,"MSE",1.13587,1.06529,1.06422,1.06437,2.00495,1.9152,1.85382,1.10842,1.10681,1.10807
0.3,20,5,0.2,"Bias",-0.05205,0.10326,0.10413,0.10271,-0.01314,-0.00506,-0.00167,0.34367,0.3413,0.34305
0.3,20,5,0.2,"Var",3.85267,4.32626,3.93251,3.95297,5.6682,5.7279,5.71821,3.75418,3.74394,3.75169
0.3,20,5,0.2,"MSE",1.73013,1.38875,1.32215,1.32365,2.09833,2.22349,2.23144,1.73973,1.74714,1.73719
0.3,20,5,0.8,"Bias",-0.00629,0.1461,0.23038,0.10933,0.03915,0.17487,0.18024,0.09776,0.09601,0.09774
0.3,20,5,0.8,"Var",17.05527,17.68235,14.68764,16.66703,20.83406,39.571,33.97139,17.37859,17.3932,17.37869
0.3,20,5,0.8,"MSE",1.20747,1.36895,1.49234,1.36388,3.80103,23.12628,17.53896,1.20394,1.20511,1.20392
0.3,20,10,0.2,"Bias",-0.06324,0.01072,0.01274,0.00897,-0.00541,-0.00513,-0.00508,-0.00581,-0.0012,-0.00539
0.3,20,10,0.2,"Var",4.08555,3.89621,3.79804,3.8028,5.22472,5.15536,5.14625,3.99982,4.04047,4.00122
0.3,20,10,0.2,"MSE",1.4413,1.16135,1.14149,1.14153,2.0375,1.99216,1.99515,1.31853,1.31319,1.31708
0.3,20,10,0.8,"Bias",-0.03914,0.04993,0.06252,0.03967,-0.00539,0.01823,0.019,-0.0118,-0.01344,-0.01175
0.3,20,10,0.8,"Var",14.26153,14.52047,13.11611,13.97745,17.08382,16.29482,16.29381,14.28537,14.29292,14.2856
0.3,20,10,0.8,"MSE",1.13682,1.22481,1.21835,1.21378,2.30926,1.61275,1.6105,1.12718,1.12651,1.12731
0.3,20,20,0.2,"Bias",-0.00924,-0.00271,-0.00443,-0.00136,-0.00207,-0.00151,0.00127,-0.10781,-0.12333,-0.10962
0.3,20,20,0.2,"Var",4.49871,5.19622,5.00442,5.0473,6.54538,6.48523,5.86459,4.72287,4.70462,4.71849
0.3,20,20,0.2,"MSE",1.48802,1.07814,1.07562,1.07605,2.01864,1.98199,1.88197,1.19165,1.19269,1.19009
0.3,20,20,0.8,"Bias",0.00418,-0.0071,-0.03772,-0.00394,-0.00173,-0.0024,-0.00257,-0.05246,-0.05215,-0.05249
0.3,20,20,0.8,"Var",21.15108,20.71493,19.37331,20.38686,23.59631,23.09796,22.78348,21.29438,21.29982,21.29468
0.3,20,20,0.8,"MSE",1.13217,1.11344,1.14,1.11429,2.06984,1.75181,1.60316,1.12759,1.12901,1.12748
0.3,20,30,0.2,"Bias",0.00785,-0.00236,-0.00292,-0.00191,0.00004,-0.00067,0.01568,0.01946,-0.04498,0.01542
0.3,20,30,0.2,"Var",4.0746,5.18233,5.05909,5.08085,6.5572,6.49515,5.21717,4.52196,4.55384,4.51795
0.3,20,30,0.2,"MSE",1.47344,1.04996,1.04821,1.0483,2.02249,1.98569,2.10395,1.14683,1.13139,1.14419
0.3,20,30,0.8,"Bias",0.01384,-0.00601,-0.01906,0.00232,-0.00029,0.00203,0.02443,-0.01157,-0.01618,-0.01161
0.3,20,30,0.8,"Var",20.19638,19.78054,19.14414,19.51249,22.66542,22.35582,21.25387,20.22146,20.23863,20.22171
0.3,20,30,0.8,"MSE",1.11701,1.07276,1.07597,1.07265,2.04564,1.84326,1.36468,1.10642,1.10682,1.10616
0.3,100,5,0.2,"Bias",-0.04417,0.02707,0.02693,0.02717,0.00476,0.00524,0.00509,-0.03187,-0.03161,-0.03181
0.3,100,5,0.2,"Var",4.23444,4.92454,4.40713,4.42257,6.17883,6.19539,6.19589,4.25862,4.29569,4.25879
0.3,100,5,0.2,"MSE",1.55248,1.29379,1.22359,1.2243,2.02082,2.04175,2.04282,1.53293,1.49604,1.53224
0.3,100,5,0.8,"Bias",-0.00699,0.01838,0.01569,0.01974,-0.00491,0.01504,0.01513,-0.01639,-0.01581,-0.01639
0.3,100,5,0.8,"Var",18.63888,18.48619,17.3208,18.10289,23.12212,22.48436,23.30641,18.63469,18.66707,18.63469
0.3,100,5,0.8,"MSE",1.14745,1.29758,1.30185,1.29547,4.21144,4.11116,5.01147,1.14439,1.14643,1.14439
0.3,100,10,0.2,"Bias",-0.02073,0.00162,0.0012,0.002,-0.00186,-0.00227,-0.00233,-0.01253,-0.01773,-0.01305
0.3,100,10,0.2,"Var",5.11608,5.85645,5.48831,5.49814,7.23558,7.21268,7.21218,5.49851,5.41973,5.49475
0.3,100,10,0.2,"MSE",1.55464,1.14235,1.12635,1.12642,2.00864,1.99938,2.00634,1.27092,1.26021,1.27021
